title,channleName,views,videoLink,channleLink
"BAD BUNNY - NO ME QUIERO CASAR (Official Video) | nadie sabe lo que va a pasar mañana",Bad Bunny,5.3 مليون مشاهدة,/watch?v=0KEFzO4Po6I,/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
JaidynAlexis Barbie Remix Ft Blueface [OFFICIAL MUSIC VIDEO],blueface bleedem,483 ألف مشاهدة,/watch?v=t3keGqM6kPU,/channel/UCZwJNsS8DxGT8iTtOVbYUNg
Uncle Murda - Rap Up 2023 Pt 2 (Official Video),UncleMurdaVEVO,480 ألف مشاهدة,/watch?v=IugByNqYovM,/@UncleMurdaVEVO
Lil Mabu x Fivio Foreign - TEACH ME HOW TO DRILL (Official Music Video),Lil Mabu,10 مليون مشاهدة,/watch?v=fW1QcEAy4rg,/channel/UCMA_eOj8DY3BcrpZF_vKamg
Uncle Murda - Rap Up 2023 Pt 1 (Official Audio),UncleMurdaVEVO,450 ألف مشاهدة,/watch?v=EfmWWyxmSMw,/@UncleMurdaVEVO
Fabolous - Selfish Freestyle (Official Video),MyFabolousLife,1.1 مليون مشاهدة,/watch?v=3i_YHQ2eUj8,/channel/UCPGTwnuYHJ0nb6osWd9v7gg
Lil Tecca - Down With Me (Official Video),Lil Tecca,2.1 مليون مشاهدة,/watch?v=AH85mAXA-30,/channel/UCOlxqtcKc-HBEQJgDsylyhA
Tiagz X Fuerza Regida X El Alfa - TACATA (REMIX) [Official Video],FUERZA REGIDA,6.1 مليون مشاهدة,/watch?v=LGEBBJJaOWY,/channel/UCFLI6KAjrKRtydD7KqiYvAw
Rompe La Dompe,Peso Pluma,3.2 مليون مشاهدة,/watch?v=jBOgbMS6HD4,/channel/UCzrM_068Odho89mTRrrxqbA
Yailin La Mas Viral - Bad Bxtch (Video Oficial),Yailin La Mas Viral,5.9 مليون مشاهدة,/watch?v=IKyMDf7D1hk,/channel/UCZUl_haJHBu7KF6dU8iwC_g
Lil Uzi Vert - Red Moon [Official Music Video],LIL UZI VERT,3.5 مليون مشاهدة,/watch?v=2NzuR5OLvnQ,/channel/UCqwxMqUcL-XC3D9-fTP93Mg
"""2024"" prod. ojivolta, earlonthebeat, and Kanye West",Playboi Carti,21 مليون مشاهدة,/watch?v=YG3EhWlBaoI,/channel/UC652oRUvX1onwrrZ8ADJRPw
Rap Up 2023,Uncle Murda - Topic,316 ألف مشاهدة,/watch?v=Q7zIXTR8QRU,/channel/UCSkgN6JxJCCQNDxaNgrR8fA
"ITZY ""Mr. Vampire"" M/V @ITZY",JYP Entertainment,3.1 مليون مشاهدة,/watch?v=VkIEfqHFNkU,/@JYPEntertainment
Drake - You Broke My Heart,Drake,5.7 مليون مشاهدة,/watch?v=w1-jss2mZlY,/channel/UCByOQJjav0CUDwxCk-jVNRQ
Farruko - Prospero Año III,Farruko,1.3 مليون مشاهدة,/watch?v=k21MkWWDEp0,/channel/UCqFhfan_P2AmGVB1X2B-3Aw
Playboi Carti - H00DBYAIR (Official Music Video),Lil Ewc,2.2 مليون مشاهدة,/watch?v=-JoqOgCqPMs,/channel/UCOcIS0TTmgaBIQpZtSrbYvQ
Pooh Shiesty - Federal Contraband 2 (Freestyle),Choppa Gang Ent.,1.8 مليون مشاهدة,/watch?v=Iu47PH6c1sg,/@CeoMrpooh
Arcángel- 3 a 0 (Video Lyric),Arcangel,6.8 مليون مشاهدة,/watch?v=3dkSxB1e6T0,/channel/UCu4bj03KW4CwAsYtHSwMEsQ
"Kurchi Madathapetti Lyric Video |Guntur Kaaram |Mahesh Babu| Sreeleela |Trivikram | Thaman S",Aditya Music India,18 مليون مشاهدة,/watch?v=Ldn11dMHTJ8,/@adityamusic
El Alfa “El Jefe” X Donaty X Fuerza Regida - TORETTO,ElAlfaElJefeTV,5.2 مليون مشاهدة,/watch?v=mN62Zd01COU,/channel/UCEU5ZK7DwN9ppqPFJiGah3A
Fredo Bang - Middle Name (Official Video),Fredo Bang,395 ألف مشاهدة,/watch?v=O50atek--6s,/channel/UC8FHFLWe9KkG0eoxPMIgcpg
Finesse2Tymes ft Sauce Walka- Sue Me [Official Music Video],Finesse2tymes,308 ألف مشاهدة,/watch?v=pb9oFBXRoec,/channel/UCWot_hGZs3ovEEzAKu_EzLw
Anuel AA - Arcangel Es Chota (Audio),Anuel AA,17 مليون مشاهدة,/watch?v=p9JAt53TSWE,/channel/UCRI7hheejBbWS6etTNwMT0g
SZA - Snooze (Lyrics),7clouds R&B,382 ألف مشاهدة,/watch?v=O2nxl7ftSQs,/@7cloudsRNB
"ATEEZ(에이티즈) - 'MATZ (홍중, 성화)' Official MV",KQ ENTERTAINMENT,6.6 مليون مشاهدة,/watch?v=3PA5FG1NX9U,/@KQENT
JID - 30 (Freestyle) [Official Visualizer],JID,295 ألف مشاهدة,/watch?v=FcTWj3UZmEk,/channel/UC3WIRbOw46MsbycRc1N5x4g
"BabyTron - New Year, Same Tron (Official Video)",BabyTron SB,346 ألف مشاهدة,/watch?v=Msv3giQ12pg,/channel/UCHB3KMZ3GQulpgtiln_yvGw
Grupo Firme - Libros De Recuerdos - Mimoso - El Flaco - El Yaki - Julio Preciado - Desde La Playa 3,Grupo Firme,1.1 مليون مشاهدة,/watch?v=YChI0pZFet0,/channel/UCFlC8U0Uif2hF0FIgsSIIYQ
That Girl Lay Lay feat. T.I. - Foreal,THAT GIRL LAY LAY,437 ألف مشاهدة,/watch?v=fIb6VKjozoM,/channel/UCKgGcrumPgZP59yxJXNTaqQ